1101	_	D̤ʱ	D
1102	_	D̤ʱ	D
1103	_	D̤ʱ	D
1104	_	b̤ʱ	b
1104	_	d̤ʱ	d
1104	_	d̤z̤ʱ	dz
1104	_	d̤ʒ̈ʱ	ḏʒ
1104	_	g̈ʱ	g
1105	#_	b̤ʱ	b
1105	#_	d̤ʱ	d
1105	#_	d̤z̤ʱ	dz
1105	#_	d̤ʒ̈ʱ	ḏʒ
1105	#_	g̈ʱ	g
1106	_	bʰ	b
1106	_	dʰ	d
1106	_	gʰ	g
1106	_	dʲʰ	dʲ
1106	_	gʲʰ	gʲ
1107	_	bʱ̤	b
1107	_	d̤ʱ	d
1107	_	ɟʱ̈	ɟ
1107	_	g̈ʱ	g
1107	_	g̈ʷʱ	gʷ
1108	_	b̤ʱ	b
1108	_	d̤ʱ	d
1108	_	d̤z̤ʱ	dz
1108	_	d̤ʑ̤ʱ	ḏʑ
1108	_	g̈ʱ	g
1109	_	b̤ʱ	b
1109	_	d̤ʱ	d
1109	_	d̤z̤ʱ	dz
1109	_	d̤ʑ̤ʱ	ḏʑ
1109	_	g̈ʱ	g
1110	_	ʑʱ	ḏʑ
1110	_	g̈ʱ	g
1111	_	bʱ̤	b
1111	_	d̤ʱ	d
1111	_	ɟʱ̈	ɟ
1111	_	g̈ʱ	g
1112	_	b̤ʱ	b
1112	_	d̤ʱ	d
1112	_	g̈ʱ	g
1112	_	g̈ʷʱ	gʷ
1113	_	b̤ʱ	b
1113	_	d̤ʱ	d
1113	_	g̈ʱ	g
1113	_	g̈ʷʱ	gʷ
1114	_	b̤ʱ	b
1114	_	d̤ʱ	d
1114	_	d̤ʑ̤ʱ	ḏʑ
1114	_	g̈ʱ	g
1121	_#	D̤ʱ	D
1122	_C	D̤ʱ	D
1128	_	tts	tt
1128	_	ddz	dd
1129	_	tts	tt
1129	_	ddz	dd
1130	_	tts	tt
1130	_	ddz	dd
1131	_	tts	tt
1132	_	d̤z̤ʱ	d̤ʱ
1133	_	ts’	t’
1134	_	ṭṣ	ṭ
1136	_	ṭṣ	ṭ
1137	_	ṭṣ	ṭ
1138	_	ṭṣ	ṭ
1139	_	kkx	kk
1140	_	kx	kʰ
1158	_	ṯɕ	c 
1233	_	s	h
1237	_	s	h
1240	_	s ̺	h
1242	_	s̪	h
1243	#_	s	x
1244	_	s	h
1245	_	ʃ	h
1246	V_V	ʃ	h
1247	_	ʃ	h
1248	#_	ʃ	h
1250	V_V	s	h
1251	V_V	s	h
1253	V_V	s	h
1254	V_V	s	h
1255	V_V	s	h
1273	V_#	s	s
1274	V_C	s ̺	h
1276	V_V	f	h
1276	V_V	θ	h
1276	V_V	x	h
1284	V_V	f	h
1285	_	f	h
1286	_	ɸ	h
1287	_	θ	h
1288	_	θ	h
1289	_	θ	h
1291	_	θ	h
1291	_	θʲ	hʲ
1293	_	θ	h
1294	V_	θ	h
1296	_	θθ	hh
1298	#_	ç	h
1299	_	ç	h
1301	_	x	h
1303	_	xʷ	hʷ 
1304	_	xʷ	hʷ
1305	_	xʷ	hʷ
1306	_	x	h
1307	_	x	h
1308	_	x	h
1309	_	x	h
1310	_	x	h
1314	_	x	h
1316	_	x	h
1317	_	x	h
1318	_	χ	h
1320	V_V	x	h
1321	V_V	x	h
1322	V_	x	h
1327	#_	x	h
1344	V_#	x	h
1345	#_	ɣ	ɦ
1346	_	ɣ	h
1348	_	ɣ	ɦ
1349	_	ɣ	ɦ
1350	_	ɣ	ɦ
1351	V_V	ð	h
1352	V_#	d	
1353	V_V	βʱ 	ɦ
1353	V_V	ðʱ 	ɦ
1353	V_V	ɣʱ	ɦ
1355	_	k	ʔ
1355	_	c	ʔj
1356	_	q	ʔ
1358	_#	ṭ	ʔ
1358	_#	k	ʔ
1359	_#	k	ʔ
1360	_#	t	ʔ
1361	_#	k	ʔ
1362	_#	t	ʔ
1363	_	d̤ʑʱ̤	ɦ
1365	V_V	b̤ʱ	ɦ
1365	V_V	d̤ʱ	ɦ
1365	V_V	g̈ʱ	ɦ
1366	_#	n	ʔ
1366	_#	ŋ	ʔ
1368	#_	T	0
1371	V_V	d	0
1372	V_V	g	0
1375	_#	D	0
1376	_#	D	0
1377	_#	D	0
1378	_#	d̥̚	0
1379	_#	tʰ	0
1380	_#	t	0
1381	V_#	t	0
1386	_#	d	0
1387	_C	d	0
1388	V_#	d	0
1389	_#	d	0
1390	_#	d	0
1391	V_#	d	0
1392	_#	ḏʒ	0
1394	_#	k	0
1395	V_#	k	0
1396	V_#	k	0
1413	V_V	β	0
1413	V_V	ð	0
1413	V_V	ɣ	0
1415	V_V	ð	0
1415	V_V	ɣ	0
1417	V_	ð	0
1417	V_	ɣ	0
1418	V_V	ð	0
1418	V_V	ɣ	0
1420	V_V	ð	0
1420	V_V	ɣ	0
1421	V_	ð	0
1421	V_	ɣ	0
1423	V_V	ð	0
1423	V_V	ɣ	0
1425	_	ð	0
1425	_	ɣ	0
1426	V_V	β	0
1427	V_V	βʲ	0
1428	V_	ð	0
1429	V_	ð	0
1430	V_V	ð	0
1431	V_V	ð	0
1432	V_	ð	0
1433	V_	ð	0
1434	V_V	ð	0
1435	V_V	ð	0
1437	V_V	ð	0
1438	V_	ð	0
1440	V_V	ð	0
1441	V_V	ð	0
1442	V_V	ð	0
1444	V_V	ð	0
1445	V_V	ð	0
1446	V_	ð	0
1452	V_	ɣ	0
1453	V_V	ɣ	0
1454	V_V	ɣ	0
1455	V_V	ɣ	0
1456	V_	ɣ	0
1459	V_V	ɣ	0
1460	V_V	ɣ	0
1461	V_V	ɣ	0
1462	V_V	ɣ	0
1463	V_V	ɣ	0
1464	V_V	ʁ	0
1465	V_#	β	0
1465	V_#	βʲ	0
1467	V_#	ð	0
1468	V_#	ð	0
1469	V_#	ð	0
1477	V_#	ɣ	0
1478	V_#	ɣ	0
1482	_#	ɣ	0
1568	_#	θ	0
1571	V_#	s	0
1572	_#	s	0
1573	_#	s	0
1574	_#	ʆ	0
1574	_#	ṣ	0
1575	V_#	ṣ	0
1576	_#	x	0
1577	_#	x	0
1631	_	h	0
1633	_	h	0
1634	_	h	0
1635	_	h	0
1637	_	ɦ	0
1638	_	ɦ	0
1639	_	ɦ	0
1640	_	h	0
1641	_	h	0
1642	_	h	0
1643	_	h	0
1644	_	h	0
1645	_	h	0
1646	_	h	0
1647	_	h	0
1648	_	h	0
1649	_	h	0
1650	_	h	0
1651	_	h	0
1652	_	hʷ	w
1653	_	hʷ	w
1654	_	hʷ	w
1656	V_V	ɦ	0
1657	V_V	ɦ	0
1658	V_	h	0
1659	V_	h	0
1662	V_V	h	0
1663	V_V	h	0
1664	V_V	h	0
1665	V_V	h	0
1666	V_V	h	0
1667	V_V	h	0
1668	V_V	h	0
1672	V_	h	0
1673	V_V	h	0
1679	V_V	h	0
1680	V_V	h	0
1681	_	h	0
1682	V_V	h	0
1698	V_#	h	0
1699	_#	h	0
1700	_#	h	0
1703	_#	h	0
1705	#_	h	0
1706	#_	h	0
1707	#_	h	0
1708	#_	h	0
1710	#_	ɦ	0
1711	#_	h	0
1712	#_	h	0
1731	_	h	ʔ
1732	#_	h	ʔ
1733	_	h	ʔ
1734	_	ɦ	ʔ
1736	_	ħ	0
1736	_	ʕ	0
1739	_	ʕ	0
1741	_	ħ	0
1741	_	ʕ	0
1744	V_V	ʔ	0
1747	_	ʔ	0
1749	V_#	ʔ	0
1750	V_V	ʔ	0
1756	_#	ʔ	0
1757	_#	ʔ	0
1758	V_V	m	0
1761	V_V	n	0
1771	V_#	N	0
1778	V_#	n	0
1779	_#	n	0
1781	_#	n	0
1782	_#	n	0
1783	_#	n	0
1784	V_#	n	0
1789	V_#	N	0
1791	_#	n	0
1792	_#	n	0
1804	V_C	N	0
1883	V_#	r	0
1883	V_#	ɾ̣	0
1884	V_#	r	0
1885	V_#	r	0
1885	V_#	ɻ	0
1889	_#	r	0
1890	_#	ɾ	0
1891	_#	ɾ	0
1894	_#	l	0
1896	V_V	ʎ	0
1898	V_V	ł	0
1899	V_V	l	0
1899	V_V	r	0
1900	V_V	ɾ	0
1901	V_V	ɾ̣	0
1906	_C	r	0
1932	_C	l	0
1935	V_C	l	0
1939	C_	r	0
1947	#_	w	0
1951	V_V	j	0
1951	V_V	w	0
1954	V_V	j	0
1954	V_V	w	0
1955	V_V	j	0
1955	V_V	w	0
1957	V_V	j	0
1958	V_	j	0
1959	V_V	j	0
1961	V_V	j	0
1964	V_V	j	0
1965	V_V	j	0
1966	V_V	j	0
1968	V_V	j	0
1970	V_V	w	0
1971	V_V	w	0
1972	V_V	w	0
1973	V_V	w	0
1974	V_V	w	0
1975	V_V	w	0
1978	V_V	w	0
1979	V_	w	0
1981	V_V	w	0
1982	V_V	w	0
1983	V_V	w	0
1986	_#	j	0
1989	_#	j	0
2021	C_	j	0
2028	C_	w	0
2029	C_	w	0
2030	C_	w	0
2156	_	C:	C
2158	_	C:	C
2159	_	C:	C
2160	_	C:	C
2161	_	C:	C
2162	_	C:	C
2163	_	C:	C$
2164	_	C:	C
2165	_	C:	C
2166	_	C:	C
2167	_	T:	T
